2024-07-31 20:24:23,20,24,23,87,0.006280,1,			   3.960571,1.851196,136.944580,0.461426,3.455200,108.654785,-5.586548,-1.230469,-144.459229,			   -0.025879,0.131836,1.002930, -0.055176,0.007324,1.013672,			   -0.087891,-0.208740,-0.379028,-1.065674,			   0,0,0,0,			   0.000000,0.000000,9.500000,9.800000,30.200001,
2024-07-31 20:24:23,20,24,23,667,0.012560,2,			   4.026489,2.043457,137.054443,0.527344,3.636475,108.792114,-5.493164,-1.065674,-144.475708,			   -0.048340,0.130859,1.006348, -0.076660,0.008301,1.018066,			   -0.247192,-0.390015,-0.543823,-1.159058,			   0,0,0,0,			   0.000000,0.000000,9.500000,9.900000,30.200001,
2024-07-31 20:24:33,20,24,33,890,0.018840,3,			   4.339600,1.889648,137.043457,0.834961,3.477173,109.006348,-5.213013,-1.230469,-144.695435,			   -0.036133,0.144043,1.002441, -0.065918,0.019043,1.017090,			   -0.153809,-0.219727,-0.302124,-1.038208,			   0,0,0,0,			   0.000000,0.000000,10.000000,9.900000,30.200001,
2024-07-31 20:24:34,20,24,34,192,0.025120,4,			   4.416504,1.658936,136.972046,0.873413,3.246460,109.033813,-5.196533,-1.455688,-144.585571,			   -0.016602,0.141113,1.002441, -0.042969,0.016602,1.013672,			   0.098877,0.065918,-0.016479,-0.780029,			   0,0,0,0,			   0.000000,0.000000,10.000000,9.900000,30.200001,
2024-07-31 20:24:34,20,24,34,373,0.031400,5,			   4.383545,1.631470,137.010498,0.856934,3.224487,109.088745,-5.207520,-1.477661,-144.486694,			   -0.036133,0.128418,1.006348, -0.065918,0.009277,1.016602,			   0.230713,0.159302,0.065918,-0.692139,			   0,0,0,0,			   0.000000,0.000000,10.000000,9.900000,30.200001,
2024-07-31 20:24:34,20,24,34,586,0.037680,6,			   4.553833,1.840210,137.059937,1.038208,3.427734,109.132690,-4.987793,-1.290894,-144.607544,			   -0.060547,0.139648,1.012207, -0.090332,0.012695,1.024414,			   0.054932,-0.038452,-0.093384,-0.911865,			   0,0,0,0,			   0.000000,0.000000,10.000000,9.900000,30.200001,
2024-07-31 20:24:39,20,24,39,806,0.043960,7,			   4.449463,1.807251,137.010498,1.010742,3.405762,109.286499,-4.993286,-1.318359,-144.739380,			   -0.027832,0.139648,1.004395, -0.055176,0.019043,1.013184,			   -0.021973,-0.087891,-0.192261,-0.922852,			   0,0,0,0,			   0.000000,0.000000,10.000000,9.900000,30.100000,
2024-07-31 20:24:40,20,24,40,151,0.050240,8,			   4.394531,1.807251,137.092896,0.988770,3.405762,109.330444,-5.004272,-1.312866,-144.645996,			   -0.038086,0.133789,1.004395, -0.066895,0.013672,1.014160,			   0.010986,-0.065918,-0.203247,-0.911865,			   0,0,0,0,			   0.000000,0.000000,9.900000,9.900000,30.100000,
2024-07-31 20:24:40,20,24,40,433,0.056520,9,			   4.460449,1.807251,137.109375,1.082153,3.400269,109.335938,-4.899902,-1.323853,-144.635010,			   -0.023438,0.141113,1.003906, -0.051270,0.020996,1.014648,			   -0.038452,-0.120850,-0.219727,-0.939331,			   0,0,0,0,			   0.000000,0.000000,9.900000,9.800000,30.100000,
2024-07-31 20:24:44,20,24,44,768,0.062800,10,			   4.323120,1.713867,137.087402,1.120605,3.328857,109.489746,-4.735107,-1.406250,-144.651489,			   -0.027832,0.137695,1.004883, -0.057617,0.020508,1.016602,			   0.060425,0.000000,-0.060425,-0.884399,			   0,0,0,0,			   0.000000,0.000000,9.900000,9.800000,30.100000,
2024-07-31 20:24:45,20,24,45,82,0.069080,11,			   4.251709,1.636963,137.032471,1.120605,3.257446,109.495239,-4.746094,-1.477661,-144.624023,			   -0.026367,0.137207,1.003906, -0.056641,0.020020,1.015625,			   0.175781,0.104370,0.010986,-0.796509,			   0,0,0,0,			   0.000000,0.000000,9.900000,9.800000,30.100000,
2024-07-31 20:24:47,20,24,47,257,0.075360,12,			   4.246216,1.730347,137.131348,1.115112,3.350830,109.528198,-4.740601,-1.384277,-144.602051,			   -0.021484,0.134277,1.007813, -0.050781,0.018555,1.017578,			   0.000000,-0.010986,-0.126343,-0.873413,			   0,0,0,0,			   0.000000,0.000000,9.500000,10.700000,30.200001,
